treatment,time_active_se,time_active_sd,time_active,number_foraging_fish_se,number_foraging_fish_sd,number_foraging_fish,number_active_se,number_active_sd,number_active,time_active_per_fish_se,time_active_per_fish_sd,time_active_per_fish,foraging_per_fish_sd,foraging_per_fish_se,foraging_per_fish,total_videos,time_active_per_fish_per_minute,time_active_per_fish_per_minute_se,foraging_per_fish_per_minute,foraging_per_fish_per_minute_se
LL,0.14103283529377608,1.2692955176439846,1.8888888888888888,0.07407407407407407,0.6666666666666666,3.2222222222222223,0.07407407407407407,0.6666666666666666,3.2222222222222223,0.03433425225507251,0.3090082702956526,0.5833333333333333,0.36324157862838946,0.04036017540315438,0.2222222222222222,9,3.4999999999999996,0.20600551353043506,1.3333333333333333,0.24216105241892633
LS,0.1469861839480328,1.3228756555322954,2,0.037037037037037035,0.3333333333333333,4.111111111111111,0.037037037037037035,0.3333333333333333,4.111111111111111,0.029280348705262773,0.26352313834736496,0.4722222222222222,0.25,0.027777777777777776,0.25,9,2.833333333333333,0.17568209223157663,1.5,0.16666666666666666
INT,0.7238178722424712,10.133450211394596,5.071428571428571,0.10266683947718967,1.4373357526806554,3.2857142857142856,0.07781496848598889,1.0894095588038444,3.5714285714285716,0.18247256253159905,2.5546158754423867,1.4690476190476192,0.3083246707029825,0.022023190764498747,0.18846153846153846,14,8.814285714285715,1.0948353751895943,1.1307692307692307,0.1321391445869925
SS,0.2575359903485071,3.863039855227606,3,0.09246764055746502,1.3870146083619754,2.7333333333333334,0.09246764055746502,1.3870146083619754,2.7333333333333334,0.0628287491935778,0.942431237903667,0.9743589743589743,0.26352313834736496,0.017568209223157664,0.16666666666666666,15,5.846153846153846,0.3769724951614668,1,0.10540925533894599
FF,0.10780190632099797,2.5872457517039513,3.2083333333333335,0.027416888755836602,0.6580053301400784,4.541666666666667,0.027416888755836602,0.6580053301400784,4.541666666666667,0.027176832265142756,0.6522439743634262,0.732638888888889,0.3804971480972557,0.015854047837385653,0.28958333333333336,24,4.395833333333334,0.16306099359085655,1.7375000000000003,0.09512428702431393
