id,video_name,large_vs_large,large_vs_small,int_vs_int,large_vs_female,small_vs_female,int_vs_female,female_vs_female,female_vs_male,large_courting,intermediate_courting,small_courting,number_focal,number_large_male,number_small_male,number_model_female,male_chased_juvenile,tank_id,pairwise_distance_large_males,pairwise_distance_small_males,pairwise_distance_females,pairewise_distance_juvs,total_fish,date,comments,small_vs_small,observer,treatment,total_courtship,total_aggression,aggression_towards_females_by_males,aggression_towards_males_by_males,good_video
FF1_08-15-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/08_15_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,5.666666666666667,0.0,FF1,NaN,NaN,443.24666666666667,527.6633333333333,22.333333333333332,2016-08-15,0,0,RE,FF,0.0,0.3333333333333333,0.0,0.0,TRUE
FF1_08-26-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/08_26_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,14.0,0.0,0.0,6.333333333333333,0.0,FF1,NaN,NaN,369.78333333333336,554.3133333333333,20.333333333333332,2016-08-26,0,0,RE,FF,0.0,1.6666666666666667,0.0,0.0,TRUE
FF1_09-07-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/09_07_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,22.333333333333332,0.0,0.0,8.0,0.0,FF1,NaN,NaN,264.90333333333336,468.54333333333335,30.333333333333332,2016-09-07,0,0,RE,FF,0.0,0.3333333333333333,0.0,0.0,TRUE
FF1_09-15-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/09_15_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,7.333333333333333,0.0,FF1,NaN,NaN,376.21333333333337,439.44666666666666,24.0,2016-09-15,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
FF1_09-22-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/09_22_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,0.0,0.0,8.0,0.0,FF1,NaN,NaN,454.6433333333333,414.08,15.666666666666666,2016-09-22,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
FF1_09-30-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/09_30_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.666666666666666,0.0,0.0,8.0,0.0,FF1,NaN,NaN,491.81666666666666,542.8933333333333,22.666666666666668,2016-09-30,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
FF1_10-04-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/10_04_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,13.0,0.0,0.0,7.0,0.0,FF1,NaN,NaN,457.68,492.1466666666667,20.0,2016-10-04,0,0,RE,FF,0.0,0.3333333333333333,0.0,0.0,TRUE
FF1_10-13-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/10_13_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,0.0,0.0,8.0,0.0,FF1,NaN,NaN,437.8533333333333,577.6233333333333,17.333333333333332,2016-10-13,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
FF1_10-20-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/10_20_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,5.666666666666667,0.0,0.0,8.0,0.0,FF1,NaN,NaN,400.31,492.24333333333334,13.666666666666666,2016-10-20,0,0,RE,FF,0.0,0.3333333333333333,0.0,0.0,TRUE
FF1_11-03-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/11_03_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,7.666666666666667,0.0,FF1,NaN,NaN,284.43666666666667,357.265,11.333333333333334,2016-11-03,0,0,SK,FF,0.0,0.0,0.0,0.0,TRUE
